id,imdb_id,name,popularity,image_resource
1505821,nm3792671,Esther Povitsky,6.782,classpath:/static/images/celebs/img_1505821.jpg
64774,nm0649638,Natalia Oreiro,6.781,classpath:/static/images/celebs/img_64774.jpg
83968,nm1747924,Jim Parrack,6.78,classpath:/static/images/celebs/img_83968.jpg
1565239,nm8175494,Iman Meskini,6.779,classpath:/static/images/celebs/img_1565239.jpg
230576,nm0477234,Roger Kwok,6.779,classpath:/static/images/celebs/img_230576.jpg
12547,nm0585429,Tracy Middendorf,6.779,classpath:/static/images/celebs/img_12547.jpg
1547209,,Kwak Si-yang,6.778,classpath:/static/images/celebs/img_1547209.jpg
74538,nm1183102,Nate Mooney,6.777,classpath:/static/images/celebs/img_74538.jpg
1031380,nm4800564,Camren Bicondova,6.777,classpath:/static/images/celebs/img_1031380.jpg
60230,nm1123750,Jack De Sena,6.777,classpath:/static/images/celebs/img_60230.jpg
11161,nm0767741,Tom Savini,6.774,classpath:/static/images/celebs/img_11161.jpg
1689089,nm4490375,Andrea Bang,6.773,classpath:/static/images/celebs/img_1689089.jpg
1332975,nm3960821,Oscar Kennedy,6.773,classpath:/static/images/celebs/img_1332975.jpg
150952,nm2399634,Misako Renbutsu,6.772,classpath:/static/images/celebs/img_150952.jpg
1167492,nm0505721,Simona Williams,6.772,classpath:/static/images/celebs/img_1167492.jpg
4788,nm0000611,Ariana Richards,6.772,classpath:/static/images/celebs/img_4788.jpg
154176,nm0791755,Chaz Lamar Shepherd,6.77,classpath:/static/images/celebs/img_154176.jpg
1682677,nm8281860,Xu Lei,6.77,classpath:/static/images/celebs/img_1682677.jpg
32393,nm0005204,Paul McCrane,6.768,classpath:/static/images/celebs/img_32393.jpg
1922389,nm8351457,Billy Jenkins,6.768,classpath:/static/images/celebs/img_1922389.jpg
1406627,nm3336353,Yoshi Sudarso,6.768,classpath:/static/images/celebs/img_1406627.jpg
78872,nm0151747,Ken Chang,6.768,classpath:/static/images/celebs/img_78872.jpg
43427,nm0860688,Sarah Thompson,6.767,classpath:/static/images/celebs/img_43427.jpg
3289,nm0919369,Paul Weitz,6.767,classpath:/static/images/celebs/img_3289.jpg
55155,nm0067049,Bernard Behrens,6.767,classpath:/static/images/celebs/img_55155.jpg
116805,nm0082450,Paul Feig,6.767,classpath:/static/images/celebs/img_116805.jpg
40632,nm1044403,David Anders,6.766,classpath:/static/images/celebs/img_40632.jpg
931991,nm0744392,Špela Rozin,6.766,classpath:/static/images/celebs/img_931991.jpg
20239,nm0001641,Vincent Perez,6.766,classpath:/static/images/celebs/img_20239.jpg
1504947,nm5640595,Nicholas Hamilton,6.766,classpath:/static/images/celebs/img_1504947.jpg
21594,nm0005098,Chris Klein,6.765,classpath:/static/images/celebs/img_21594.jpg
204507,nm2244033,Leslie-Anne Panaligan,6.764,classpath:/static/images/celebs/img_204507.jpg
65769,nm0424684,Bryce Johnson,6.764,classpath:/static/images/celebs/img_65769.jpg
64575,nm1016687,Laurent Tirard,6.764,classpath:/static/images/celebs/img_64575.jpg
21503,nm0297686,Tatsuya Fuji,6.763,classpath:/static/images/celebs/img_21503.jpg
72028,nm0343325,Arye Gross,6.763,classpath:/static/images/celebs/img_72028.jpg
2135392,nm10199212,Muzakki Ramdhan,6.762,classpath:/static/images/celebs/img_2135392.jpg
59386,nm2515050,Katharina Heyer,6.761,classpath:/static/images/celebs/img_59386.jpg
3067811,,Yiran Zhou,6.761,classpath:/static/images/celebs/img_3067811.jpg
67767,nm0624102,Hal Needham,6.761,classpath:/static/images/celebs/img_67767.jpg
5346,nm0001246,Dan Futterman,6.761,classpath:/static/images/celebs/img_5346.jpg
6693,nm0755974,Jonathan Sagall,6.761,classpath:/static/images/celebs/img_6693.jpg
1234600,nm4465078,Jung Il-woo,6.76,classpath:/static/images/celebs/img_1234600.jpg
110665,nm0620657,Daisuke Namikawa,6.759,classpath:/static/images/celebs/img_110665.jpg
2401979,nm10034951,Luca Luhan,6.758,classpath:/static/images/celebs/img_2401979.jpg
21290,nm0004929,Dave Foley,6.758,classpath:/static/images/celebs/img_21290.jpg
21662,nm2067953,Ed Westwick,6.758,classpath:/static/images/celebs/img_21662.jpg
8023,nm0049633,Kyle Balda,6.757,classpath:/static/images/celebs/img_8023.jpg
9601,nm0550318,Kenneth Mars,6.756,classpath:/static/images/celebs/img_9601.jpg
554085,nm0579534,Jessey Meng,6.756,classpath:/static/images/celebs/img_554085.jpg
225387,nm3761004,Nani,6.756,classpath:/static/images/celebs/img_225387.jpg
144288,nm2118666,Maiara Walsh,6.755,classpath:/static/images/celebs/img_144288.jpg
1557181,nm9665672,Wi Ha-jun,6.755,classpath:/static/images/celebs/img_1557181.jpg
52396,nm0902807,Stefanie von Pfetten,6.755,classpath:/static/images/celebs/img_52396.jpg
101519,nm1166613,Naturi Naughton,6.754,classpath:/static/images/celebs/img_101519.jpg
85154,nm0219208,Tony Denison,6.754,classpath:/static/images/celebs/img_85154.jpg
41269,nm0065183,John Beck,6.754,classpath:/static/images/celebs/img_41269.jpg
57576,nm0717157,Alex Reid,6.754,classpath:/static/images/celebs/img_57576.jpg
105643,nm0646515,Jay Oliva,6.753,classpath:/static/images/celebs/img_105643.jpg
